name	seq
aamar jabar belaey	ssrmpDpmppmGGGGGpmGRRssssssssrrmmGGmppmmmppppDDDD'R'R's's's's's'R'RNNNDDpppppMMppddNNNNdd'sNDpmGGRsssssrmpDpmppmGGGGGpmGRRssssssDDDDNN's's's's's'R'R's's's's'sNN's's's's'sDDNN's's'r'r'G'G'G'r'r'm'm'G'G'G'R'R'R'R'G'G'R's's's's's's's'R'R's's's's's'R'R's's's'sNNNN's'sNDDDpppppppDmmppddNNNNdd'sNNDDpmmGGRRssssssssrrmmppDDpmmppmmGGGGGGpmmGRRRsssssssssrrmmmmmmmmmppmmmgppmpppppppppppMppNNDDDDDDDDDDpDDDD's's's'sNNDDpmmGGRRssssssssrrmmmmmmmmmppmmmgppmpppppppppppMppNNDDDDDDDDDDpDDDD's's's'sNNDDpmmGGRRssspspspspmmDDDDDNNN's's's's's'RNN's's's's's's's's'sDDNN's's'r'r'G'G'G'r'r'm'm'G'G'G'R'R'R'R'G'G'R's's's's's's's'R'R's's's's's'R'R's's'sNNNNN's'sNDDDpppppppMMppddNNNNdd'sNNDDpmmGGRRssssssssrrmmppDDpmmppmmGGGGGGpmmGmmGGRRsssss
aamar jibono paatro	mmgmmNNDDDpmmpppDDppmmggssRRggmmmmmmmmppggRRggppppgggggRRRsssmmmmgmmmggmmmDDpppppnnnnnn's's's's'R'R's'snn'sDD'snDpmmNNDDDpmmpppDpmgsRgmmmmmmmDDDn's's'R'R'Rn's'Rn'sDn's's'sN'sNNNDDpppDNDDppppp'G'G'G'G'G'G'G'G'r'G'G'm'm'm'm'G'G'G'G'G'R'R'R's's's'R'R'R'R's'snnnn's's's'R'Rnn's's'sDDDDDD's'sn's's'R'R's'sNNNN's'sNNNNNNNpNNDDDppppppmmgmmmmNNNDDDppppmmmppppppDDppmmggssRRggmmmmmmmssssmmmmmmmmmmmmmmmmmmmggppmmmmssmmmmmmmmmmmmggppgggRggpgggRgRRsssssmmmmmmmmmmmmgpmmmsmmmmmmmgpggRggpgggRgRRsssDDDn's's'R'R'sn's'sn'sDDnn's's's's'sNNNDDpDDpppp'G'G'G'G'r'G'm'G'G'R'R'R's's'R'R'snnn's's'Rn'sDDssssmmmmmmmmmmmpgggRggRRss
aamar mon boley chai chai	nnn's's's'r'snnnnnndpp's'snppppppDDDppppDpmmpDmpmgggg's's's's's's's's'r's'r'snnnnnndpp's'snppppppDDDppppDpmmpDmpmgggg's's's's's's's's'r's'r'snnnnnndpp's'snppppd's's's's's's's's'r'snn's's'snn'sdnnnnndppppDNppppDNpp'snpppppppppppd's's's's's's's's'r'snn's's'snn'sdnnnnndppppDNppppDNpp'snpppppppppppDDDNDpppppDpmmpDmpmggg's's's's's's's's'r's'r'snnnnnndpp's'snpppsssrrrrggrggsrrgrpmgggggppd's's's'sn's's's's'r'snn's'sndnppddndppppdn'sndnppppppDNppppDNpp'sndppppppppppDDDNDpppppDpmmpDmpmgggg's's's's's'sn's's's'r'snnnnnndpp's'snpp
aamar mon maney na	ppmrmGrssssrs.nsggmpmgppmrmGrsssgmmppmpdpmppdmpmggggggggmrgrgmmgmpppppppdN'sn'r'sN'sNNdNpdpmgpmggggrgmgmpmgppmrmGrsspppmGGmpnn's's's's'sn's's'G'G'r'sn'r'snn's's'r'snnDDppmmGGmpnn's's's's'sn's's'G'G'r'sn'r'snnn's'sn's'R'sn'snnDDppppppmpdpdNNddppdpmmpmgppmrmGrssssrs.nsmGrsrs.nssmGrsrs.nsggggrgmGrrmGrs.nsmGrsrs.nssmGrsrs.nsggggrgmgpmmgmppppppmpdNdN'sNNdpddpmggmrgrgmmpppmGGmpnn's's's's's'sn's's'G'G'r'sn'r'snn's's'r'snnDDppmmGGmpnn's's's's's'sn's's'G'G'r'sn'r'snnnn's'sn's'R'sn'snnDDpppppppmpdpdNNddppdpmmpmgppmrmGrsssppmrmGrssssrs.nsggmpmgppmrmGrsssgmmppmpdpmppdmpmggggggggmrgrgmmgmpppppppdN'sn'r'sN'sNNdNpdpmgpmggggrgmgmpmgppmrmGrsspppmGGmpnn's's's's'sn's's'G'G'r'sn'r'snn's's'r'snnDDppmmGGmpnn's's's's'sn's's'G'G'r'sn'r'snnn's'sn's'R'sn'snnDDppppppmpdpdNNddppdpmmpmgppmrmGrssssrs.nsmGrsrs.nssmGrsrs.nsggggrgmGrrmGrs.nsmGrsrs.nssmGrsrs.nsggggrgmgpmmgmppppppmpdNdN'sNNdpddpmggmrgrgmmpppmGGmpnn's's's's's'sn's's'G'G'r'sn'r'snn's's'r'snnDDppmmGGmpnn's's's's's'sn's's'G'G'r'sn'r'snnnn's'sn's'R'sn'snnDDpppppppmpdpdNNddppdpmmpmgppmrmGrss
aamar praner manush	sss.nssgggggggmmmmppdppgmppmGGrssssssss.nssgggggmmpdppgmppmGGrssssssssrmmmpppppssssrmmmpppppssssrmmmpppppNdpmmppNdpppppp's's's'snn's'sNNddpppmmgggmmpppmmGGGrrsss.n.nsssgggggsssssgggggggggmmmmppddpppggmmpppmmGGGrrsssssmmppnnn's's's's's's'snndnn's's's'g'g'r'r's's'r'r'snnnnnnn's's'r'r'snn's'smmppnnn's's's's's's'snndnn's's's'g'g'r'r's's'r'r'snnnnnnn's's'r'r'snn's's's'snnnnnnnnn's's's'r'r'snnnnn's's's's'snn's's's's's's's'snnpppnnnnnnn's'snnddpppppppnnnn's's's'snnddpppmmgggmmppp.n.nsssgggggmmpdppgmppmGGrssssmpnn's's's'sndn's's'g'r's'r'snnnn's'r'sn's'smpnn's's's'sndn's's'g'r's'r'snnnn's'r'sn's's's'snnnnn's's'r'snnn'snnn's's's's'snnpnnnn'sndppppppnn's'sndppmmgmpp.nssgggggmmpdppgmppmGGrssss
aamar raat pohalo	s.nsrgppmgggmmgrgr.nsrgmgmpmggMppggmmddpMpMpmgmmgrgrs.nsgmpmggggggmpdnpdn'sdndddddndndppMpMMpppMpmggmddpMpmgggggppMMpMMpMMdpsssrrrgggMppMpmggmppmgggss.dsssrrrggggggmmmgpmgggmmmmmmmmgpmmmggrggsrrrgggmpmgggggggggmppdnpp'snnddddndndppMpMMpMMpmggmgrrgggppMMpMMpMMpsssrrgggMppMpmggmppmggg
aamar shokol rosher dharaa	ggrrsssndddpppMMppMggsgrrrrrgsgrgsrgmggrrsssnddppMpMggppgpMddg's's's's's'sn's'spdn's'r'r'r'r's'g'r's'g'r's's'g'r'sndddd'r's'snddddppppMpdppMgmggrrggmmggrrgggrrrsssssnndddpppMMppMgggssrrggggggggmmggggrr.n.nrrsss.n.nssrrrrrrrrrssrrggggrrgrrsssppppggppMdddgg's's's's's's's's's'snn's's'sppddnn's's'r'r'r'r'r's's'r'r'g'r'r's's'g'g'r'r's's'sssrrgggssrrgggssrrgggssrrgggggpppppppMMpppddMMMMppggmmggrrgggrrrsssssnndddpppMMppMgg
aamar shonar bangla	mmgmgrsrs.N.d.d.d.d.Nssrgrsrs.N.Nssssrrggrrssssmsmmmggmmggrrssrrs.N.N.d.d.d.d.d.d.Nssrgrsrs.NsssrgrssssssssrmmmpppppssssrmmmpppppddppmmmppppdNNddppppppp's's's's's'sNNNddppddpppgggggggmppggmmggrrssrrs.N.N.d.d.d.d.d.d.N.Nssssrggrrssrrs.N.Nssssrrggrrssssssssssppppmmdddddddnn's'snn's'g'g'r'r's's'snn's'sdddddnnnn's's's's'r'r'g'g'r'r's's's'snnddnnnnnn's's's's's's'snnpppmmdddddddnn's'snn's'g'g'r'r's's'snn's'sdddddnnnn's's's'snnnnnnn's's's's's's'r'r's'sNN'sNNdppppddNNN's's's's's's'r'r's'sNNddppmmgmmNNNNNddppppppp's's's's's's'sNNddppddpppgggggggmppggmmggrrssrrs.N.N.d.d.d.d.d.d.N.Nssssrggrrssrrs.N.Nssssrrggrrsssssssssssssss.N.Nssssrss.d.d.d.d.d.d.d.d.d.d.d.N.Nssgggmmggmppmgggggggssrrgggggmmppmmggmgggssgggmmgggrrssrr.N.Nssssrrggrrssssppppmmdddddddnn's'snn's'g'g'r'r's's'r'r'snn's'sdddddnnnn's's's's'r'r'g'g'r'r's's's'snnddnnnnnn's's's's's's'snnpppmmdddddddnn's'snn's'g'g'r'r's's'r'r'snn's'sdddddnnnn's's's'snnnnnn's's's's's's's'r'r's'sNN'sNNdppppddNN's's's's's's's'r'r's'sNNddppmmgmmNNNNNddppppppp's's's's's's'sNNddppddpppgggggggmppggmmggrrssrrs.N.N.d.d.d.d.d.d.N.Nssssrggrrssrrs.N.Nssssrrggrrsssss
aamaro porano jaha chaey	mpmGrssr.nsssssssssppppppppppdppdmmppddpmmpmmGGrrsrrmmppmmGGrrssssr.n.nsssssssssmpppppdpdmmppppmpmp's's's's'sNdpdmpdpmpmGrsrmpmGrssr.nssssssppdmppnnnndn'sn's'r'sn's's's'sn'sn'r'r'r'G'r's'rn's'sNNdNppdmppnnnndn'sn's'r'sn's's's'sn'sn'r'r'r'G'r's'rn's'sNNdNdpdmppppppdmppnnn's's'sn'sn'r'sNdd's'sNdpdmpdpmpmGrsrmppmmGGrrssssr.n.nsssssssssssddddddddddNNdppddpmmppppppppppppmmppddddddNNdppddpmmppmmmGGGGGGGGGmmmrrrrrsssrrrssssr.n.n.nsssrrmmmmmmpppddmmpppppppssssddddddddddNNdppddpmmppppppppppppmmppddddddNNdppddpmmppmmmGGGGGGGGGmmmrrrrrsssrrrssssr.n.n.nsssrrmmmmmmpppddmmpppppppppppdmmppppnnnnn's'snddnn's's's'r'r'snn's's's's's's'snn'snn'r'r'r'r'r'r'r'G'G'r'r's's'rnn's'sNNNddNNdppppdmmppppnnnnn's'snddnn's's's'r'r'snn's's's's's's'snn'snn'r'r'r'r'r'r'r'G'G'r'r's's'rnn's'sNNNddNNdppppdmmppppppppppddpmmppppnnnnnn's's's'snn'snn'r's'sNdddd'sNNddppdmmppddpmmpmmGGrrsrrmmppmmGGrrssssr.n.nssssssss
aami chini go chini	srgggggggmgpmgrrrrgrrpMpppppssrrggggggggggggggmggpmmgrrrrrrrggrrrrppMMpppppggmmppp'sn'r'sdNdppsrgrrpmggggsrgggggggmgpmmgrrrrrrrggrrrrppMMpppppggggggggggggggmmmmpppppppppmmmmppmmddppmmppmmggggmmrrggrrgmmpppppppssssrrrggrrggmmggggggssrrgmmggrrs.n.n.d.n.nsssssssss.n.nrrssss.n.n.d.d.p.p.p.pssssssssrrrrrrggmmgggggggggggmmmmmmmmmmmmppddpmmppmmgggmmgrrppmmgggggggggggggggggmmmmppppppppmmmmppmmmmdppmmmppmggggggggggggggmmmmppppppppmmmmppmmmmdppmmmppmggggmmpppppp'snnnn'r's'sddNNddpppppmmNNddppmggmmgggggssrrggggggggggggggmggpmmgrrrrrrrggrrrrppMMpppppp
aami choncholo hey	.D.NssR.NssrGGRsssRmGRGRs.NsRsspppppGmpppNDDpmGGsRmmGRGRss.NsRsss's's's'R'R'sNpppNDDpmGGsRmmGRGRss.NsRss.D.NssssR.NssrGGRssssRmmGRGRss.NsRss.G.G.m.p.p.p.D.D.D.p.p.D.N.Ns.N.NRs.NssssGGGGrGGrGG.D.D.D.N.NGRRs.NssssssDDppppDpmmmmpmGrGrssrGssssRmGRGRs.NsRsssssDDDNNN's's'sNDpmNDDDN'sN'G'R's's'R'sNDppNDppmGGrGrGmGRGRs.D.NssR.NsrGGRsssRmGRGRs.NsRs.G.m.p.D.N.p.D.D.p.D.N.N.Ns.N.NsRs.DssssrGmmmmmppmGrGssrGmRssGGGrGGGrmGrGsRmGRs.N.D.NsrGsssRmGs.NsRsssssDDDNNN's's'sNDDpmNDDDN'sN'G'R's's'R'sNDppNDpppmGGrGrGmGRGRs.D.NssR.NsrGGRsssRmGRGRs.NsRss
aami elem tari darey	ss.n.nssrrrrrssrrpppmprGrs.nsrrrrsrppmprGrs.nsrrrr'r'r's'sNdNNppNNmmppppp'r's'r'sNpmrs.nsrrrrsrppmprGrs.nsrrrrrrnnnnnn's's's's's's'r'r's's's's'sNNNNppNNppNNppppNddNpppppppmmmppppppmmNddNpppppppppmmmmppppmm's's's'r'r'r's's'sNNNdddNNNpppppdmmppppp'r's's'r's'sNNppmmrrss.n.nssrrrrrssrrpppmmpprrGGrrss.n.nssrrrrrssssss.n.nss.n.nsssrrrrrppmmppmmggrrrppppppppppmmmpppppNddNmmmpppppppppmmmppmmppmmNNNrrrrrrrpmmpmmrrss.n.nss.n.nsssrrrnnnnnnnnn's's's's's's's's'r'r'r's'sNNpNpNpNdNppmmmppmmNdNppppppppmmpmpp's's'r'r's'sNNdddNdNpppdmppp'r's'r'sNpmrs.nsrrrrsrppmprGrs.nsrrrrsrppmprGrs.nsrrrrr
aami hethaey thaki shudhu	Dn's'R'R'R'snnnDnnDppMMpggpppggppgggRRsssssssssmmmmmmmggmmDDDDnnn's's's's'sn'R'R'R's'sn'sDnnDDDn's'R'R'R'snnnDnnDppMpgppgpggRssssnDDnn's's'R'R'R'sn's's's'g'g'g'g'g'm'p'p'g'g'R'R's'sMpMgggggmppgggRRssMDDnn's'R'R'R'R'snDMDn's'R'R'R'snnnDnnDppMpgppgpggRssssmmmmmmmmmmmmmmmmmmmmmpgggggggggggggggggmppppgggRRRssssss.D.D.n.nsRRRRRssssssssDDDDDnnnnnn'R'R'R'R's's's'snn's's's's's's'g'g'g'g'g'g'g'm'p'p'p'p'g'g'g'R'R'R's's'smmmmmgggggmppppgggRRRsssDDMMDDnnn's's's'R'R'R'R's'snnDDMMDDnn's'R'R'R'R'R's'snnnnnnDDnnnDDppppMMpggpppggppgggRRssss
aami kaan petey roi	sssrsrgrgrssssssrgpppdpdnndppppnddnppnddnpnnndpppdppmgrsrsrgrgrssspppd's's's'sn's'r'sndndppppdmppdndppdppmgrsrsrgrgrsssss's's'g'r'r'g'r's's'r's's'r'snn'sndnppddnnnnnnn'sndpppppp's's'g'r'r'g'r's's'r's's'r'snn'sndnppddnnnnnnn'sndpppppppddd'sn'sndnppdpppdpmgrssgrggssrrgrsrsrgrgrsssssss.d.dssrgggggmrrgrggrsspppdd's's'sndndpppppdppdndppppsssrgrgmgrss's's'g'r'r'g's's'r's's'r'snn'sndnppddnnnnnnn'sndppppppppdd'snndpppdpppdppmgrssgrggssrrgrsrsrgrgrssss
aami marer shagor	ss.dssssssrgppdppmmppmggggggggg.d.dssssssssssrrrrgggggppppppppppdd's's'snnddppddddppmmggrrss.d.dssssssssssrrggppdppmpmgggggggg.dssssssrrgggpppppppd's'sndpddpmgrs.dssssssrgppdppmpmggggggggppggpppdd's's's's's's's's's's'r'r'r's'g'r'r'r'snndndppppppppppggpppdd's's's's's's's's's's'r'r'r's'g'r'r'r'snndndpppppppppppd's'snnddppddnppnnnddndpddpmgrs.dssssssrgppdppmpmgggggggg.dssssssrggppmmggsssssssrrgggggppppdd's'snndddpddnppnnnnndnppppdnpppnnnnndnpppppppp.dssssssrggppmmggsssssssrrgggggppppdd's'snndddpddnppnnnnndnppppdnpppnnnnndnpppppppppppgpppdd's's's's's's's's'r'r'r'r'r's'g'r'r's'snndndpppppppppppgpppdd's's's's's's's's's's'r'r'r'r'r'r'r'r's's'g'g'r'r'r's's'snnnddnndpppppppppppppppdd's's'snnnddddppdddnnppppnnnnndddnnddppddddppmmggrrss.d.dssssssssssrrggppppddpppmmppmgggggggg
aami phirbo na rey	s's's'sNNddpdpppmmggggmmrrggmmpppppppNNNNdddddddddNNdddNNddddN's's'sNNdpppggmmgggmmpp's'sgggggmmpppp's's's's'sNNdpdppmggmrrgmppmmmddnn's'sn's'snn'r's's's's's'sNddddddddmmmddnn's'sn's'snn'r's's's's's'sNddddddmmgmmgmmppdn's's's's's'smmgmmgmmppdn's's's's's's's'sggmpp'sggmpp's's'sNdpdppmggmrrgmppmmmddnn's'sn's'snn'r's's's's's'sNddddddddmmmddnn's'sn's'snn'r's's's's's'sNddddddmmgmmgmmppdn's's's's'smmgmmgmmppdn's's's's's's'sgggmpp'sggmpp's's'sNdpdppmggmrrgmp
aami poth bhola ek pothik	gmp'sNddpdpmgsgmppppmdddddddddpdmdddNN'sdd'sNdppnnnndn's'sgmp'sNdpdpmgsgmppnnnnnnnn'sn's'sn's'sn'sd'sNdpmgmpddN'r's'sd'sNdppgmmdddddddddpdmdddNN'sNddNdppnnnnnnnnnnn'sndn's's'sgmpp'sNddpdpmmgsggmpppmmdddddnnn'snn's'm'm'm'g'r'r'snn's'r'sNNdmmpddpmggmmmmmgggmggmggmggmppdnnn's's's'm'm'm'g'g'm'g'g'm'g'g'm'G'r'r'G'r's's'snn's's's's'smmpddpmggmmmsssGrrGrrGrrGpppmmmrmmGrrssGGGGGrrGrmGrsssppppppppppmppdddNNgmpp'sNddpdpmmgsggmppsssssssrrrrrsrgggrrgmmmpppmmgmmmddddnnn's's'sN'sdddnnn's's's's'smmpddpmggmmmmmmmddddnnn'snn's'm'm'g'r'r'snn'sN'sNNdmmpddpmggmmmggmggmppdnn'snnnpnnn's's'smmmmpddpmggmmmsssGrrGrrGrrGpppmmmrrrrmGrrssGGGGGrrGrmGrsssppppppppppmppdddNNgmpp'sNddpdpmmgsggmpp
aami rupey tomaey	s.nsgrgggmpdpdmpmmgggggggpMppMpdnnnnn'sndpppdpdpmmdppdpdpmmmppdpdmpmggmmgrrrgmppppmmggmpdddpmgrs.n.nsgrgggmpdpdmpmmggggggggpd's's'sn's'r'r's's's's's's's's's'snndddn'sndndnddndppMgmggggppppppppMpdn'sn'snddndppmgggppppppppMpdn'sn'snddndpmgrggmpddppmgrrgggmgrs.n.n.n.nsgrgggmpdpdmpmmggggggpmpmgrrrrrgpdnnnnnpn's'r'r'snn's'sndn'sn'sndpppdNdpmggmgrrrrgpdnnnnnpn's'r'r'snn's'sndn'sn'sndppppnnnnn'sndn's'r's'r'sdn'sndppmgggggmpp'sNdNdppppdpmgrs.n.n.nsgrgggmpdpdmpmmggggg
aami taarei jaani	pd'sNNdpdpmmGGGrrsr.nssgggggmmppmGGrssmmpppmmNNNdpmp'sNdpdmpggmppmGGrssmmpnn's's's's'sndn's's'g'r's'r'snnnnn's'rn's's's's'smmpnn's's's's'sndn's's's'g'g'r'r's's'r'r'snnnnnnnnn's'r'rnn's's's's's'spp's's's's's's's's'r'r's'sNNNddppmmpp's'sNNddppddpmmgggmmpppmmGGGrrsssssssGGrrGGGrrrGGrrGGGrrmmGGrrsssssssgggggggggmmmppmmpmmGGrrsssssssGGrrGGGrrrGGrrGGGrrmmGGrrsssssssgggggggggmmmppmmpmmGGrrsssmmppppnnnn's's's's's's's's'snndnn's's's's'g'g'r'r's's'r'r'snnnnn's's's's'r'rnn's's's's's'smmppppnnnn's's's's's'sndn's's'g'r's'r'snnn's's'rn's's's's'sp's'sn's's'r'sNNdpm'sNNdpdpmpggmppmGGrs
aami taarei khnujey berai	nnnn'snDpMppppDDDDpDmpppDpDmpgggmppdnnnnnn'snDpMppDDDDnnn's's's's'r'snnnnnnssssrrrrgrggmmppggmmppppmppdnnppppdnnpppd's's'r's'snn'snDpMppppDDDpppmmNNDDDDDDnnnn's's's's's'r's's'snn's's'snnDDppmmNNDDDDDDnnnn's's's's's'r's's'snn's's's's's's's'snn's's's's's'r's's'snn's'snnDDppmmppppNNDDppDDpmmpggggggggmmDDDDNN's's'R'RNN's's's'r'r'g'g'r'r's's's's's's's'snn's's'g'g'g'g'g'g'm'p'p'p'p'm'g'g'm'm'g'g'R'R's's'snn's's's's's'R's's's'snn's'snnDDppDDmmpppppDppDDpmmppggggnnnnnnnn'snnDDppMMppppDDDnnnnnnnnnnnnnn's's's's's'ssssssrrrrrrrgggggmmpDpDDNDppNNNDNppppppppDppmpDmpggnnnn's's's's'smNDDDDnn's's's'r's'r'sn's'snDpmNDDDDnn's's's'r's'r'sn's's's's'sn's's's'R's'sn's'snDpmmppNDpDpmpgggggmNDDDDnnn's's'r'g'r's's's's'sn's's'g'g'g'g'm'p'm'g'm'g'R's'sn's's's'R's'snnnDppmpggnnnn'snDpmppDDDpDmpppDpDmpgggmppdnnnnnnnnnnn'snnDDppMMppppD
aami tomaey joto	sn's'r'sNdpmrgrssggggrgmmppdNdpmgmpppggmpdNp'sNppdNdpmgmpppnnnnn'spppddNd'r's'sNNdpdp'sNNdpmgrgmppmddddnn's's's'm'm'g'r's'r'sn's's'snnn's'sn'sNdpdpmgrggmmmmpppppddggmddddNpdNpddnnnnnn'sppnnnn's'sn'rNdpdpmgrgmppssrrgggmrrgmpdmppggmNNNddNN's'sd's'sNdpdNdpdpmggmNNNddNN's'sd's'sNdpdNdpppnnnnndnnpnn's's'r's'r's'sn's'sNNNNddddN'r'sNdpdNdppsssrrrggmrggmmppppnnnnnn'sppnnn's'sn'rNdpdpmgrgmp
aami tomaro shongey	sssmmmmmmmppppdpmppmGGmmmmNNNdddnnnn's's's's'sddnnnnnn's's's'r'rnn's'sNNNNdddddddNppppmmmmmmppp's'sNNNddddddNmmmmmppppdpmppmGGmmNNNdddnnnn's's's's's's'sdddddddddnnnn's'snn's's's'snn's'sddnnnnnn's's's's's's's's's'sn's'snnn'r'r'G'G'r'r'r'r'r'r's's's's'snn's's's'snn'r'r'snn'sNNdddddddnnnnnn's's's'r'rnn's's'smmmmmmmmmppppddppdddddddddddddddddnnnnnnn'snn's's's's's's's's's's's's's's's's's's'sN'r'r'r'r'G'r'r's'sNNddddNppmmpppmmGGGmmmmNNNdddnnnn's's's'smmmmmmmpppppppddppppddNddddddNNNNNNNNNNNNNNNd's's's'sNNddNNppmmmmmpppppppddppppddNddddddNNNNNNNNNNNNNNNd's's's'sNNddNNppmmmmmmmNNNddddnnnn's's's's's's'r's's'r'r'snnnn's's's'snn's's'r'r'r'r's's'snn's's'sNNddmmmmmmppmmgggmmddnn's's'R'R's'snn's's'snnddmmmmmmppmmgggmmddnn's's'R'R's'snn's's's's's's's's's's'm'm'm'r'r'r'r's's'snn's's'snn's's'r's'sNNdddddddnnnnnn's's's'r'rnn's'sNNNNdddddddNppppmmmmmmppppppppdppmmpppmmGGGmmmmNNNdddnnnn's's's's's's
aamra shobai raja	sss's's'snnnddddpppppdddddppgggpppppppdddddpppppgggggrrssrrgggmmggrrrssssssrrrgggggrrsssssssss's's's'snnnndddpppdddpggppppppdddpppgggrsrggmgrrssssrrgggrssssspppppgppd's's's's's's's'g'g'r'r'r's's's's's's'g'g'g'r'r'r's's'snnndddpggppppppdddpppgggrsrggmgrrssssssrrrgggggrrsssssssssss's's's's'snnnnndddddpppppdddddppgggpppppppdddddpppppgggggrrssrrgggmmggrrrssssssrrrgggggrrsssssssssssss.d.d.dssrrrggggggggrrgggddppMMMggggsssssss.d.d.dssrrrgggggrggdpMMggggggpppMppMppMppnnndpMggggggdddpppgggrsrggmgrrsssssrgggrssssspppppgppd's's's's's's'g'g'g'r'r'r's's'spppppgppd's's's's's's'g'g'g'r'r'r's's's's's's'g'g'g'r'r'r's's'snnndddpggppppppdddpppgggrsrggmgrrssssrrgggrssssssss's's'snnndddpppdddpggppppppdddpppgggrsrggmgrrssssrrgggrssss
aanondolokey mongolalokey	gggggggggrrrggpmmmmmdppppssssrrrrgggggggsssggrrr.n.nsssssssgggggggggrrrggpmmmmmdpppsssrrrggggggssggrrr.n.nssssssssssssss.n.nssrrrrrrss.n.ngggggggmmppmmpmmgggggrrsssss.n.nssrrrrrrss.n.ngggggggmmppmmpmmgggggpppppppppMMpppppppppMMpppppMMppddppppmmmmgggggggggggggrrrrgggppmmmmmmmddppppssssrrrrgggggggsssggrrr.n.nssssssssssssss.n.nssrrrrrrrss.n.ngggggggmmppmmpmmgggggrrsssss.n.nssrrrrrrrss.n.ngggggggmmppmmpmmgggggpppppppppMMpppppppppMMpppppMMppddppppmmmmgggggggggggggrrrrgggppmmmmmmmddppppssssrrrrgggggggsssggrrr.n.nssssss
aasha jawar pother dhaarey	ggggrrss.nrrrssrgggggrrrgsssrggggssrssspMgggMMMddppMggmrrgrssrssspMgggpppppMpppnnddpMggmmmgggggggrrrss.nrrrrpp's's's's's's's's's's'sndddndd'r'snddppssppppMgmggg's's'g'g'r'r'sn'r'r's's's's'r'r's's'sn'sndpMndpsrsspMggMMddpMgmrgrsrsspMggpppMppnndpMgmmgggggrrs.nrrrspppMppMgMMM'sndpppMdpMgmmmgggrsssrgggggmmmmmmmmggrggrsrrggmgrsp's'sn'r's'spd'r'r'r's's'r'r's's's'snnnnddddppMMMggggrssrsspMggMMddpMgmrgrsrsspMggpppMpppnnddpMggmmmgggggggrrrss.nrrr
aashar kotha hotey aaj peli	pNNp's's'r's'sNpmmrs.nssrrmmppdN's'sppNpNp's's'r's'sNNNN'sNNdppmppmppmpp'sn's'sppNNp's's'r'r'r'G'r'G'G'r'm'm'G'r's's'r's'snn's'sn's'spn's'sn's'spnn's'snn'r'r'snn's's'G'r'r'r'r'G'r'r'G'G'r'r'm'm'G'r'r's's'r'r's'snnn's'snn's'spnn's'snn's'spnn's'snn'r'r'sddNNdNNd'sNdppssrrrrmmppdN's'sppNNp's'smpppppmggNdpppppppmppmppmppnn's'sn'r'sNNNddpsssmpppppmggNdpppppp'r'r'r'G'r'G'G'r'm'G'G'r's's'r's'sn's'sn's'spn's'sn's'spn's's'r's'snn's's'G'r'r'r'G'r'G'G'r'm'G'G'r's's'r's'sn's'sn's'spn's'sn's'spn's's'r's'sndNNdNNdNNdppsssrrrrmmmppdNN's'spppNNp's's
arup tomar bani	ppdddndn's's'sdpmgrgmpmgggrrsssssssssmmggmmpppppddddnn's's's'g'g'r'r'r's's's's'snnddNNdppppndn's's'sdpmgrgmpmggrsssppppndn's's's's's's's'sddnndnn's's's's'r'r's's's's'snnn'sddnn's's's's'g'g'g'r'r's's's'snn'r'r's'sddpppddddNNddppMMddpppmmmmpppppppnddnn's's's's's's's's's's'sddnndnn's's's's'r'r's's's's'snnn'sddnn's's's's'g'g'g'r'r's's's'snn'r'r's'sddpppddddNNddppMMddpppmmmmsssssssmggmmppppppdddnn's's's's'g'r'r's's's's's's's'snnddNNddppppppnddnn's's's'sddppmmggrrggmmppmmgggrrssssddddNNddpppmmpppmmggmmrrggmmmmdpppmmggmmrrssssssssssmggmmpppppdddnn's's's's'g'r'r's's's's's's's's's'snn'sddpppddddNNddpppmmpppmmggmmrrggmmmmdpppmmggmmrrssssssssssmggmmpppppdddnn's's's's'g'r'r's's's's's's's's's'snn'sddpppppppppppnddnn's's's's's's's's's's's's'sddnn's's's's'r'r's's'snnnn'sddnn's's'g'g'g'g'r'r's's'snn'r'r's'sddppppdddNNddppMMddpppmmmmssmmmmmmggmmpppppddddnn's's's's'g'r'r'r'r's's's's's's'snnddNNddppppppnddnn's's's'sddppmmggrrggmmppmmgggrrsss
badol baul	ssgggmdppggmmggpmgrrgpmgggggpMpndnppppddmmppggmmrrggsssggggggmmddppgggmmmgggppmggrrrggpmmgggpppppnnnnnnn's's's's'snddnnpppppppMMpp's'snn's'sddnnpppppddmmppggmmrrggsssggggggmmddppgggmmmgggppmggrrrggpmmgggggppMMddpppndnnn's's's's's's'sp's's'sndn's's'sn'r'sndnndpp's'sNNNNdpdppmpmggssgggmppssgggmdppggmmggpmgrrgpmggggssssss.n.nssrrrrs.nssgggmmpmpmrggggggssssss.n.nssrrrrs.nssgggmmpmpmrgggggggpMpMMpMpgMpnddpMppMpdppmmggrpmgggggg's's'g'r'r'r's's's's's's's's'sndn's's's's'sndn'sndnndppnnn'sndndppp's's'sNNNdppdpmmppssgggmdppggmmggpmgrrgpmggg
